"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"POM121C",7.98751835015399,7.64715849979433,7.62558804900409,8.07077267480214,7.98751835015399,8.11928284451771,8.2930029889123,8.18461488652952,8.31579901652692,8.01662916458728,9.63228184821258,9.19109325750193,9.29635753860212,8.45767511653156,8.84777209727705
"TRAPPC3L",6.48502487419945,4.77023316711228,5.19181568942777,6.16979922413524,6.48502487419945,3.19594610672263,4.27334666157199,3.84911044844067,3.79481288518182,3.6556235109419,3.47415644721055,4.46195537526049,4.31805469202321,3.81791338800938,3.90567397180822
"NPIPA5",5.70200752096159,5.80762246864335,6.37122824205172,5.54691969571194,5.70200752096159,7.09114722964574,7.01480969941089,6.63690663863245,7.06904613638071,6.64397400308095,7.42907089992197,7.796568118309,7.48065097924488,6.81334600533356,6.63826620967494
"USP17L15",5.31811203430597,4.76853587957811,5.61879987963714,5.32660719009742,5.31811203430597,4.4839045081215,3.95680456507923,4.88937391351756,4.17267193899207,3.70995505887708,4.51343270793376,3.86056320568444,4.53531673597964,4.63039383208069,5.00923643194904
"REXO1L2P",5.23844363476868,4.60886701096656,6.28085316932851,5.3864479578046,5.23844363476868,3.90809603829047,3.90447453866092,3.44195393955275,3.68869954243424,4.29739905798506,4.48116760419728,4.17373397615954,4.20702343742012,4.88917929352248,5.12024003792718
"TOM1",8.31868420274588,8.97884275060547,8.40194913002029,8.43354645958844,8.31868420274588,7.37378214733821,7.51696342130919,7.24857046622159,7.57008652553959,7.78031507878955,6.91424694727609,7.37508941131372,7.16658547035547,6.86394601876828,7.80387183121662
"DNAJB6",8.47291143705199,8.25461911336679,8.00433489517957,8.1248848779267,8.47291143705199,6.77094368294082,6.6508454221879,6.74472675283184,6.24113183722834,6.57014880284888,6.93740029765142,6.87429933595515,7.39869680738556,6.48783234985789,6.39536861322575
"THAP9-AS1",6.10080277668617,6.69738182762448,6.094067552147,5.97365216148176,6.10080277668617,5.39922051074505,5.12818985693698,5.15895020627324,5.44629150626924,5.25215751610879,4.80277929084299,5.08178826405072,4.87457488815074,5.63544589735092,4.96477005450119
"INAFM2",5.80322857221521,5.96155815325567,5.52029108859628,5.42792377988157,5.80322857221521,4.393870612075,4.55739833885309,5.04402169200508,4.78357591885072,4.06422563341324,5.28779091517167,5.46508936639934,5.28561497999547,5.22747679044493,5.52949339849019
"LINC00649",4.76270116327151,4.3199646085797,4.89601434444968,4.33692811221403,4.76270116327151,5.76258019669728,5.12769384218949,4.68960376839688,5.00320301303672,5.50623979897834,6.05050400968708,5.60901561747371,5.74823561776141,5.94874181371807,5.14428016912773
"OCLN",2.41641981374501,2.96901417332483,3.73227875525376,3.07179714519112,2.41641981374501,4.71487845330348,3.62841009845767,3.94019507177751,4.65651606047206,4.36464192771561,4.36005842544674,5.63996831873522,4.97968369183599,4.98766469592211,4.55302510048735
"SLFN12L",4.83919614385604,4.35248266199008,5.88511883633801,4.82188076889936,4.83919614385604,6.62625043717474,5.97434240746701,6.27686579828722,6.47623850916522,6.26322173131205,6.41986024907097,6.69803182280145,5.64607900249877,5.78477852318084,5.62176839679734
"CHASERR",7.36646331701972,7.46981272423797,7.82821965122486,7.0061706933853,7.36646331701972,6.03824534511504,5.77231192864027,5.91264116831786,5.70212303100235,6.20290502114376,6.78724514373049,7.01712374056176,6.62179227537806,6.06641639110931,5.52518008024502
"ERVK13-1",3.78326744117926,3.85239339364834,4.354937526248,3.92381779935428,3.78326744117926,5.62242015057923,5.64247878547023,5.41833589720547,5.46539313550586,5.23338395102326,5.84505177493787,6.75769638364123,7.24369987271906,6.24057543816803,4.968859443514
"MMP25-AS1",4.61959765810668,4.37410431303127,4.03616316936338,4.47696820324837,4.61959765810668,4.67805627272972,4.81976651995881,5.24427246322386,4.89401986508174,4.59963064222997,5.13113040010854,6.55698802162644,5.83816915392836,5.31392875383251,5.77910125364449
