"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006550.hg.1","PRKCZ","5590","protein kinase C zeta",0.666838474274157,4.97811573993823,2.70059191579567,0.0138764434343735,0.0241647827617058,-3.74449610422528
"2","TC0100006695.hg.1","TAS1R1","80835","taste 1 receptor member 1",-0.652006705765727,3.88528664243465,-2.35872834446476,0.0287872297804857,0.0453605053157721,-4.4220942150872
"3","TC0100006707.hg.1","CAMTA1","23261","calmodulin binding transcription activator 1",-0.555912552207409,7.1098832955442,-2.48328377083584,0.0221501825883501,0.0361603687484726,-4.18063434624306
"4","TC0100006723.hg.1","VAMP3","9341","vesicle associated membrane protein 3",-1.91216910885045,6.8610767541359,-8.99465220769288,2.06774216966036e-08,1.11081032835243e-06,9.54665125825223
"5","TC0100006729.hg.1","PARK7","11315","Parkinsonism associated deglycase",-1.10289730730514,6.97710415370441,-5.89558339511359,9.67778039396313e-06,7.7088526586396e-05,3.39706094429062
"6","TC0100006801.hg.1","NMNAT1","64802","nicotinamide nucleotide adenylyltransferase 1",-0.695205006473449,3.64728883520808,-2.50673824185701,0.0210727503798296,0.0346586353701719,-4.134436277685
"7","TC0100006805.hg.1","RBP7","116362","retinol binding protein 7",-0.938026086353356,4.24568352612721,-2.98546138750045,0.00739336999655711,0.0141087853713729,-3.14862048773733
"8","TC0100006812.hg.1","KIF1B","23095","kinesin family member 1B",-1.68202170438528,5.30013299084429,-6.57353425140215,2.26180702536633e-06,2.73552619299088e-05,4.85312515527076
"9","TC0100006818.hg.1","PGD","5226","phosphogluconate dehydrogenase",-1.34016513710615,7.30859864076774,-5.71486548470146,1.43953039535351e-05,0.000100462695264852,2.99970733257247
"10","TC0100006852.hg.1","UBIAD1","29914","UbiA prenyltransferase domain containing 1",1.09115038058901,7.46501738223414,5.67800007467133,1.56171216803416e-05,0.000105711358905103,2.91821433826534
"11","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",-0.604884955399263,7.56426535254254,-2.3614669399929,0.0286232874982799,0.0451483742717832,-4.41685795922899
"12","TC0100006875.hg.1","MFN2","9927","mitofusin 2",-0.713866523743144,6.39541646714381,-3.04957934822203,0.00640287445424453,0.0124973721920616,-3.01132477369501
"13","TC0100006884.hg.1","VPS13D","55187","vacuolar protein sorting 13 homolog D",0.666384319698301,5.34012970998514,2.9119605218174,0.0087109784907241,0.016262790832297,-3.30466880384992
"14","TC0100006982.hg.1","EFHD2","79180","EF-hand domain family member D2",-0.845608291974368,8.23628045695232,-3.9685463839277,0.00077562157711253,0.00222707997903038,-0.961810031672748
"15","TC0100006989.hg.1","DNAJC16","23341","DnaJ heat shock protein family (Hsp40) member C16",1.42075706702136,6.64608915050071,7.00692869703979,9.21505047456206e-07,1.47223849114286e-05,5.75278215165238
"16","TC0100007105.hg.1","PADI4","23569","peptidyl arginine deiminase 4",-1.1916691094084,6.48898327134349,-5.68899593156855,1.5241969851547e-05,0.000104219800580401,2.94253629523636
"17","TC0100007206.hg.1","CDA","978","cytidine deaminase",-0.722610438082068,7.70173732156634,-2.35788140587227,0.0288381065562273,0.0454105289633253,-4.42371289829535
"18","TC0100007283.hg.1","ZBTB40","9923","zinc finger and BTB domain containing 40",1.51433922118507,5.61469838668845,6.73011476925373,1.63047373970308e-06,2.13840038623491e-05,5.18107397266637
"19","TC0100007326.hg.1","RPL11","6135","ribosomal protein L11",-1.80407513400565,7.64656101035359,-6.12004841787311,5.94237085558994e-06,5.43638680253971e-05,3.88541285719873
"20","TC0100007333.hg.1","PITHD1","57095","PITH domain containing 1",1.42258719855537,6.77845742949226,4.84739930860742,0.000101587006124733,0.00045433878828293,1.04952528773845
"21","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",1.64437410649543,6.16593765285843,5.73988737491929,1.36221477463341e-05,9.72709777249821e-05,3.05493725551408
"22","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",-1.06314893060593,6.50944836519982,-5.70219393899258,1.48038359126932e-05,0.000101776371899766,2.97171240596735
"23","TC0100007398.hg.1","TMEM50A","23585","transmembrane protein 50A",-0.55279543183465,8.86814477701712,-2.55728502896293,0.0189157315617382,0.0315839986153048,-4.03412727583238
"24","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",1.17632691918735,7.61498324413373,5.73007356961387,1.39201898718304e-05,9.86369282329088e-05,3.03328358518808
"25","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",1.18434201937412,4.37157640980287,4.75228151404278,0.000126366460813899,0.000534627334212648,0.832470733541943
"26","TC0100007458.hg.1","DHDDS","79947","dehydrodolichyl diphosphate synthase subunit",0.976069490277685,5.67760168073466,5.07183200194382,6.08622525107041e-05,0.000305406439482152,1.55971744523119
"27","TC0100007477.hg.1","ARID1A","8289","AT-rich interaction domain 1A",0.615311934662053,7.23594250321289,2.62640503233253,0.0163008754554578,0.027728293300521,-3.89536833714752
"28","TC0100007552.hg.1","SESN2","83667","sestrin 2",-1.376369765667,5.8576086046181,-5.47440464509895,2.45573091885168e-05,0.000151273024601264,2.46565260404946
"29","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",1.52906395969104,9.29583625253456,5.06681868102372,6.15599544427465e-05,0.000308467450678405,1.5483556485904
"30","TC0100007634.hg.1","ZCCHC17","51538","zinc finger CCHC-type containing 17",-1.21729515217842,4.48603819181962,-5.12405722358411,5.40550907715644e-05,0.000278233236312115,1.67797150005285
"31","TC0100007676.hg.1","LCK","3932","LCK proto-oncogene, Src family tyrosine kinase",1.16921969459864,7.78168167533846,4.41100290986167,0.000277764178909515,0.000971563686429883,0.0511721284511486
"32","TC0100007760.hg.1","ZMYM1","79830","zinc finger MYM-type containing 1",1.10486471846641,4.83807433783419,4.89336169323079,9.14393996786865e-05,0.000420766958680808,1.15424933527892
"33","TC0100007784.hg.1","AGO4","192670","argonaute RISC component 4",-0.680402344070073,7.01379225150454,-2.7029091939775,0.0138065275501048,0.024061168344581,-3.73975242111224
"34","TC0100007886.hg.1","NDUFS5","4725","NADH:ubiquinone oxidoreductase subunit S5",-1.28567680585159,5.54491343561251,-6.26915436965603,4.31281981436744e-06,4.39850497624229e-05,4.20646181577094
"35","TC0100007920.hg.1","PPIE","10450","peptidylprolyl isomerase E",0.944282456682491,5.07095415719183,3.57045110309858,0.00195060351262953,0.00462380104071238,-1.86397068134004
"36","TC0100007940.hg.1","CAP1","10487","cyclase associated actin cytoskeleton regulatory protein 1",-0.678962309736759,10.0967858994827,-3.28361325409609,0.00376783468667654,0.00797772513860935,-2.50206136082461
