"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC1400008940.hg.1","4792","NFKBIA",-3.96292115641139,9.15244036367275,-17.7218559054844,1.42401282706605e-13,6.57893926104513e-10,20.9881380938275
"2","TC0600009597.hg.1","7128","TNFAIP3",-3.50692829570513,8.83499502466799,-15.1768221208475,2.47483764575335e-12,5.22459204148419e-09,18.3371856036698
"3","TC0400007836.hg.1","3576","CXCL8",-5.64531983870634,6.2992031647551,-14.9160567684328,3.39259223472999e-12,5.22459204148419e-09,18.0394377149058
"4","TC1000007990.hg.1","54541","DDIT4",-2.52675207315173,6.63770182706388,-14.0074899584419,1.05708313276707e-11,1.0624303761038e-08,16.9595127866637
"5","TC1500010184.hg.1","597","BCL2A1",-4.07036220197474,7.7855629615631,-13.9421393523561,1.14981642435476e-11,1.0624303761038e-08,16.8791896849731
"6","TC1700010830.hg.1","3674","ITGA2B",-3.51307017404173,7.01058985073871,-13.5392221233264,1.94513668481516e-11,1.49775524730767e-08,16.3757631588916
"7","TC0500008785.hg.1","1958","EGR1",-2.84434672976736,5.99753345674959,-12.3588631968487,9.79522460471058e-11,6.46484823910898e-08,14.8153325757339
"8","TC0100015975.hg.1","6016","RIT1",-2.61565272213094,6.88589872968514,-12.2515969324371,1.14134385080935e-10,6.59126073842402e-08,14.6668474537104
"9","TC0100011453.hg.1","50486","G0S2",-4.59869780235085,6.85539415128934,-12.168255603128,1.2862394732691e-10,6.60269596278136e-08,14.5506784786762
"10","TC1500009079.hg.1","6727","SRP14",-2.64672910520161,7.24772909401879,-11.8220901310435,2.12768325167611e-10,9.52165678077045e-08,14.0605214277159
"11","TC0900011177.hg.1","7295","TXN",-3.50464603508817,6.67339488151609,-11.684023868747,2.60891943490685e-10,9.52165678077045e-08,13.861527522496
"12","TC0800010807.hg.1","6129","RPL7",-2.87217891630055,6.5356540480092,-11.6594011355242,2.70605743282427e-10,9.52165678077045e-08,13.8258260187771
"13","TC0100017110.hg.1","9214","FCMR",3.28533306466135,8.89536941038932,11.5981971080151,2.96422362189427e-10,9.52165678077045e-08,13.7368026096409
"14","TC0900010769.hg.1","4783","NFIL3",-3.21550351533156,7.66999150119712,-11.5614756060559,3.13134390777747e-10,9.52165678077045e-08,13.6831966565321
"15","TC1700010630.hg.1","1236","CCR7",2.82583102976612,8.88210442682921,11.5394435311831,3.23630611675712e-10,9.52165678077045e-08,13.65096446841
"16","TC2100007599.hg.1","64092","SAMSN1",-3.39329656302437,7.15140164586819,-11.5269313987111,3.2975434738599e-10,9.52165678077045e-08,13.6326362716615
"17","TC0X00006799.hg.1","6303","SAT1",-2.88997689336175,8.32780300256738,-11.435215690339,3.78502775006729e-10,1.02863695325358e-07,13.4977691718257
"18","TC1100009200.hg.1","916","CD3E",2.74678269166949,9.29022546456353,11.38910557478,4.05797692011648e-10,1.04154740949656e-07,13.4296181407332
"19","TC0900011613.hg.1","399665","FAM102A",2.26509935691511,6.573849711691,10.9441800039711,8.03332088888264e-10,1.9533653950862e-07,12.7598853928839
"20","TC1500009952.hg.1","5315","PKM",-2.1331888284781,7.9308179715786,-10.8348835171215,9.53030806827267e-10,2.20150116377099e-07,12.591939169086
"21","TC0100008152.hg.1","7388","UQCRH",-2.1983033671854,4.44575654376047,-10.7206256675427,1.14096414107146e-09,2.51012111035722e-07,12.4148953405159
"22","TC1900007096.hg.1","3726","JUNB",-2.45065998759497,7.47856541221017,-10.6064454555113,1.36768967324505e-09,2.8721483138146e-07,12.2364514967509
"23","TC2000009874.hg.1","9491","PSMF1",2.44638527567152,9.40493105676478,10.5568238838346,1.48042501232487e-09,2.97372328562647e-07,12.1584239262669
"24","TC1200012648.hg.1","4637","MYL6",-2.95952677462386,7.42620189754976,-10.4181382271596,1.84987633143892e-09,3.5357475824335e-07,11.9387989139131
"25","TC1200012270.hg.1","196383","RILPL2",-1.87151083757491,7.33476970637355,-10.3972722161857,1.91328332382765e-09,3.5357475824335e-07,11.9055565479728
