"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC2000008678.hg.1",-1.50309638827628,8.34440509526255,-6.75661163033016,1.54312139788508e-06,0.003224584946068,5.27632888898359
"TC0300013051.hg.1",1.24445879253709,7.0957906240742,6.61697521089062,2.06480576451156e-06,0.003224584946068,5.01340820177117
"TC1900007891.hg.1",-1.57595045353329,7.79418999492148,-6.61030048165894,2.09388632861558e-06,0.003224584946068,5.00076351763509
"TC1200008255.hg.1",1.2212593436163,5.03011187839097,6.24230994353814,4.56805932462126e-06,0.00527610851993755,4.29296421680653
"TC0600007377.hg.1",-2.15275179762167,7.52707097228262,-6.0222123084688,7.34433532009826e-06,0.00616387840760655,3.85985672524689
"TC1100006547.hg.1",-1.06150129538558,3.12481273292021,-5.98258036541553,8.00503689299552e-06,0.00616387840760655,3.78111822314902
"TC0100013623.hg.1",-1.07777518988008,3.77506745049234,-5.83500448069462,1.10508451519242e-05,0.00729355780026997,3.4859637653779
"TC0X00010880.hg.1",1.25068304491092,4.85521847211036,5.74931416220636,1.33420094973258e-05,0.00770501048470563,3.31319529123819
"TC0100015891.hg.1",1.03161942129725,7.66258037979688,5.67577717791017,1.56941024455353e-05,0.00805630592204148,3.16414064789511
"TC0400011013.hg.1",1.85980437725445,9.22829547617811,5.47040766872823,2.47776214850974e-05,0.0102905048737164,2.74415488184743
"TC0200008268.hg.1",-1.20260307153873,9.23527203108836,-5.43787447283572,2.66476232403695e-05,0.0102905048737164,2.67714039456475
"TC1100007257.hg.1",1.5347812134981,7.27379664656847,5.39739488483498,2.91771359897092e-05,0.0102905048737164,2.59357966730833
"TC1800009268.hg.1",1.96622809806684,6.28490938747093,5.38758736989673,2.98260578337502e-05,0.0102905048737164,2.57330505224211
"TC0200006677.hg.1",-1.74134314208758,5.48064386221863,-5.36775939659871,3.1183348102171e-05,0.0102905048737164,2.5322811144977
"TC1900009636.hg.1",-0.990555245504363,7.1072382481607,-5.31797409347539,3.48759558052798e-05,0.0107417943880262,2.42907478776151
"TC1700012313.hg.1",-0.982829802649075,7.0994388227995,-5.17827602007273,4.7804787666495e-05,0.0131928953850094,2.13799724144527
"TC1900010746.hg.1",-1.01469573630929,5.52173811375214,-5.17148706357118,4.8545286048736e-05,0.0131928953850094,2.12379807830291
"TC1800006448.hg.1",-1.33456480211888,4.54558975268972,-5.11921617685237,5.46521261142744e-05,0.0140273790359971,2.01431346715279
"TC0400010449.hg.1",1.21139611131058,6.35617849705532,5.09207078187763,5.81264042298827e-05,0.0141338940811609,1.9573464374732
"TC1900006976.hg.1",-0.986334422280533,4.0800942346166,-5.0645745837515,6.18748941989405e-05,0.0142931005599553,1.89956890732506
"TC0300012768.hg.1",-0.956624565067932,2.28541655273592,-4.9938070637258,7.26937571111066e-05,0.014935514551861,1.75053235199025
"TC0400012795.hg.1",0.887725260301839,8.14587355059535,4.98586809414268,7.40217535708509e-05,0.014935514551861,1.73378373606277
"TC0500010998.hg.1",0.971178185886135,5.63758179599367,4.98006925236713,7.50073101542243e-05,0.014935514551861,1.72154645832198
"TC0600011142.hg.1",-1.40330985925443,4.83162447391445,-4.94003610831927,8.21848616813728e-05,0.014935514551861,1.63698236808366
"TC1100013186.hg.1",1.03671000023798,7.56537657220211,4.9252470162169,8.50095068414296e-05,0.014935514551861,1.60570689593158
"TC0100008631.hg.1",1.33248772938182,3.97725399338512,4.92486657063565,8.50834560970451e-05,0.014935514551861,1.60490209258775
"TC0600011499.hg.1",-1.40260179459851,6.16627165924662,-4.91368905455436,8.72854746537334e-05,0.014935514551861,1.58125137003281
"TC0X00006758.hg.1",1.09895666903643,5.318107356632,4.89649996495968,9.07852285815561e-05,0.0149795627159568,1.54485989608302
"TC0700009232.hg.1",1.30350516813819,7.13252532443532,4.87102062788018,9.62366942513585e-05,0.0153315009462509,1.4908714720899
"TC1500008485.hg.1",1.24918694111109,7.11709790642555,4.85420958001641,0.000100014224130695,0.015402190516127,1.45522124447903
"TC0100015866.hg.1",-1.00751465492874,7.69147644178347,-4.81686356279946,0.000108953177814298,0.0162375381129695,1.37594311160644
"TC2000009602.hg.1",-1.61796733145807,5.63260888134053,-4.80200726603636,0.000112730495070557,0.0162754652258117,1.34437604512799
"TC0700008809.hg.1",1.05577906504183,5.58832962804972,4.78663077681878,0.000116779936697425,0.0163491911376395,1.31168607042606
"TC0300012187.hg.1",0.811215984320725,4.74722410147651,4.75801218067894,0.000124713382982382,0.0169463479229001,1.25079723154714
"TC2000009874.hg.1",1.08856468031617,9.40493105676478,4.69745535608904,0.000143347749427136,0.0188306005484941,1.12176584658511
"TC0500007491.hg.1",1.63806585206025,7.08951107285748,4.67213064179103,0.000151954041325455,0.0188306005484941,1.06773228970041
"TC1700009877.hg.1",1.07406599436461,3.7534009041869,4.65817754346244,0.00015691725235006,0.0188306005484941,1.03794404754995
"TC0100011197.hg.1",1.34062640043972,5.22917834106139,4.65480278276715,0.000158142099321913,0.0188306005484941,1.03073749963569
"TC0600008120.hg.1",1.19394069424774,6.05732713126892,4.65256499574344,0.000158959615019755,0.0188306005484941,1.02595848539033
"TC1100006860.hg.1",0.898688486620856,6.85241340812755,4.63989946004968,0.000163667821840485,0.0188708854608643,0.998904211927998
"TC0500010651.hg.1",-0.88276076083641,3.98385527773316,-4.62281116123278,0.000170244358946869,0.0188708854608643,0.962387388881861
"TC0600011233.hg.1",-0.949334664903684,6.61094715577272,-4.61948923743538,0.000171553504189675,0.0188708854608643,0.955286606481565
"TC0500011316.hg.1",1.25564129644714,8.58385331177059,4.60088699912168,0.000179074769465635,0.0192401263937496,0.915511605150841
"TC1000009221.hg.1",1.05019332566142,6.79580608533617,4.58150486700082,0.000187266093308669,0.0194185840939976,0.874048336314525
"TC0300012007.hg.1",1.32777063531513,4.05231403751851,4.56854629830842,0.000192952774413516,0.0194185840939976,0.846315271014014
"TC2000007479.hg.1",2.66357935405597,8.65795309716922,4.53712644840357,0.000207475642295326,0.0194185840939976,0.77903617889687
"TC0400012828.hg.1",1.21105358869478,5.11134576972123,4.53611185630788,0.00020796256899214,0.0194185840939976,0.776862807412122
"TC1000008399.hg.1",1.11440122328246,3.47066521589894,4.53599074824988,0.0002080207686007,0.0194185840939976,0.776603376798202
"TC0100008797.hg.1",1.19837156835229,4.45255480919865,4.53063753890563,0.000210609790808179,0.0194185840939976,0.765135323014953
"TC0300010123.hg.1",0.984399960572277,5.85566994432492,4.52411554294518,0.000213808067961259,0.0194185840939976,0.751161516280797
"TC2000009376.hg.1",0.825145014334839,8.22224725356968,4.51027649382027,0.000220757768061124,0.0194185840939976,0.721503699822786
"TC0X00009493.hg.1",1.33461369860431,3.63712633651425,4.50048164877372,0.000225813862681187,0.0194185840939976,0.700507417840627
"TC0X00009387.hg.1",0.96577820309441,5.77016621589768,4.49680987244533,0.000227739191321518,0.0194185840939976,0.692635448031412
"TC0400010465.hg.1",1.08636585505305,4.31484982566456,4.48604058924046,0.000233482184319756,0.0194185840939976,0.669543553706527
"TC1900011257.hg.1",1.1849903577423,4.53781999074973,4.47727202812801,0.000238265949564657,0.0194185840939976,0.650737916027153
"TC0300012186.hg.1",0.908847772491792,3.36970646080754,4.46618104322232,0.000244458551870713,0.0194185840939976,0.626946739926569
"TC1300008424.hg.1",1.14800155272791,6.666107416127,4.44712809157881,0.000255477860778015,0.0194185840939976,0.586064548988262
"TC0600011131.hg.1",-0.99727712327162,4.96947443616274,-4.44313428928498,0.000257850413595812,0.0194185840939976,0.57749314821268
"TC0600011232.hg.1",-1.40200500961897,6.70967355131007,-4.4420286647756,0.000258511134443679,0.0194185840939976,0.575120173725289
"TC0700010376.hg.1",0.875301237138461,7.17477146269756,4.43639106186026,0.000261906783364103,0.0194185840939976,0.563019591035578
"TC0700012917.hg.1",1.21106176667319,5.34100821414471,4.43325818610611,0.000263813169611523,0.0194185840939976,0.556294642684937
"TC0600011546.hg.1",-0.819929210195023,6.95177298606621,-4.43281619841462,0.00026408324645673,0.0194185840939976,0.555345853605459
