"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1500010184.hg.1",4.80368952487155,7.7855629615631,16.4539924060616,5.62828050430828e-13,1.55917813478082e-09,19.8069698178555
"TC1400008940.hg.1",3.55949402862617,9.15244036367275,15.9177631302833,1.03511081026133e-12,1.55917813478082e-09,19.229942019937
"TC1700010830.hg.1",4.10875588446787,7.01058985073871,15.8349693613818,1.13901098092078e-12,1.55917813478082e-09,19.1390616927569
"TC0600009597.hg.1",3.62523722045287,8.83499502466799,15.6888238941384,1.34993777903101e-12,1.55917813478082e-09,18.9774477376558
"TC0400007836.hg.1",5.45875129203586,6.2992031647551,14.4231055959836,6.23884444130292e-12,5.02380240709967e-09,17.5109252846152
"TC0900011177.hg.1",4.31553947572684,6.67339488151609,14.3874347754619,6.52441871051905e-12,5.02380240709967e-09,17.4677789069179
"TC0800010807.hg.1",3.452875922803,6.5356540480092,14.0166983423886,1.04465915350895e-11,6.80441086369581e-09,17.0131344814775
"TC2100007599.hg.1",4.0987098549347,7.15140164586819,13.9232001811667,1.17825296341053e-11,6.80441086369581e-09,16.8966566917935
"TC0200008268.hg.1",-2.9597103105806,9.23527203108836,-13.3830800251507,2.39291100995509e-11,1.22836098511028e-08,16.2089830477424
"TC0100015975.hg.1",2.82578963891122,6.88589872968514,13.2358685764647,2.91434220890778e-11,1.3464261005154e-08,16.0170674191341
"TC1000007990.hg.1",2.32674163916752,6.63770182706388,12.8986973011066,4.60851656795552e-11,1.93557695854132e-08,15.5700204046895
"TC0900008660.hg.1",2.51376517604846,6.43683194703211,12.8090660638007,5.21396225436266e-11,1.99032304159747e-08,15.4493945238334
"TC0400011013.hg.1",4.33719129314297,9.22829547617811,12.7573656675529,5.60047609107514e-11,1.99032304159747e-08,15.3794696170823
"TC0500008785.hg.1",2.89821062530952,5.99753345674959,12.5929051683454,7.04186029840218e-11,2.32381389847272e-08,15.1553343382086
"TC0900010769.hg.1",3.47584099438745,7.66999150119712,12.4975297571696,8.05081861411557e-11,2.47965213314759e-08,15.0241533436366
"TC0100016357.hg.1",3.04159003937113,5.02766231884593,12.2972321269329,1.06932864318576e-10,3.08768645719889e-08,14.7457539278246
"TC1300009765.hg.1",3.53457871207225,6.22337789538825,12.2316219643943,1.17444285369034e-10,3.19172116708787e-08,14.6536942766243
"TC1200006721.hg.1",3.30008153214639,5.80795117772241,12.1638595898954,1.2943965832599e-10,3.32228456370042e-08,14.5581612625274
"TC0800010607.hg.1",3.42362987497146,8.93114553315433,12.0543751225771,1.51598659659143e-10,3.68624109276443e-08,14.4028260411777
"TC1700012274.hg.1",4.10402361604673,7.32630443327311,11.8411924750942,2.06879439214482e-10,4.56202012519112e-08,14.0968427806402
"TC0200008663.hg.1",3.97024995948881,8.25221613096173,11.8395975439792,2.07364551145051e-10,4.56202012519112e-08,14.0945358369721
